,id,passing_accuracy(%),passes_attempted,passes_completed,crossing_accuracy(%),crosses_attempted,crosses_completed,free_kick_taken,matches_appearance
340,250187671,86.5,17,13,0,1,0,0,2
341,250086316,86.34,136,119,0,0,0,0,3
342,250040573,86.34,104,90,0,0,0,7,3
343,250188223,86.34,79,69,16.67,6,1,1,3
344,250080553,86.34,58,51,0,0,0,0,3
345,250160436,86,131,113,58.34,12,7,1,3
346,250024448,86,115,99,9.1,11,1,3,2
347,250198240,86,105,93,57.15,7,4,8,3
348,250081721,86,65,54,0,0,0,3,2
349,250079003,86,64,55,50,4,2,4,3
350,250105890,86,44,38,40,5,2,1,1
351,250090955,86,39,33,0,0,0,5,2
352,250198114,86,36,31,0,0,0,1,1
353,1902685,86,25,22,0,0,0,0,2
354,250049573,86,24,19,0,0,0,0,3
355,250166916,86,21,18,0,1,0,0,2
356,250089276,86,14,12,0,0,0,0,1
357,250103561,86,7,6,0,0,0,1,1
358,250123695,85.67,185,161,29.42,17,5,3,3
359,250019498,85.67,134,116,30.77,13,4,2,3
360,250041770,85.67,110,94,20,5,1,0,3
361,250130406,85.67,109,92,18.75,16,3,0,3
362,74954,85.67,105,88,0,0,0,5,3
363,250200228,85.67,104,90,0,2,0,2,3
364,250124006,85.67,99,85,0,0,0,6,3
365,250161140,85.67,64,55,50,2,1,3,3
366,250012069,85.67,57,49,0,0,0,3,3
367,250193518,85.67,36,30,0,2,0,1,3
368,250132829,85.5,73,63,40,10,4,0,2
369,250080461,85.5,64,54,0,0,0,7,2
370,250101723,85.5,59,51,0,2,0,0,2
371,250104939,85.5,37,32,50,2,1,2,2
372,250113373,85.5,20,17,0,0,0,1,2
373,250090809,85.5,18,13,0,0,0,0,2
374,250196665,85.5,11,9,0,0,0,0,2
375,250052554,85.34,145,124,0,1,0,5,3
376,250102866,85.34,122,107,0,1,0,1,3
377,250112224,85.34,90,83,0,0,0,0,3
378,250119677,85.34,90,79,0,1,0,2,3
379,250066739,85,129,109,20,5,1,8,2
380,250078593,85,92,78,0,2,0,1,2
381,250131541,85,77,66,0,5,0,1,3
382,250082469,85,63,52,66.67,3,2,0,3
383,250194673,85,53,44,0,0,0,1,3
384,250130786,85,45,39,0,0,0,2,3
385,250024456,85,41,36,0,1,0,1,3
386,250058044,85,33,28,0,1,0,1,1
387,250020850,85,33,28,0,0,0,1,2
388,250099180,85,33,28,0,0,0,0,3
389,250144964,85,20,17,0,1,0,0,1
390,250181680,84.67,133,113,0,5,0,8,3
391,74699,84.67,113,102,9.1,11,1,4,3
392,250116904,84.67,84,73,100,1,1,0,3
393,250156002,84.5,89,77,0,1,0,2,2
394,250013058,84.5,65,55,14.29,7,1,5,2
395,250055110,84.5,24,20,0,0,0,0,2
396,250115487,84.5,20,17,0,0,0,0,2
397,250193519,84.5,19,16,100,1,1,0,2
398,250187672,84.34,124,105,50,2,1,4,3
399,250163786,84.34,111,95,66.67,3,2,1,3
400,250159544,84.34,71,60,0,0,0,0,3
