,id_player,player_name,nationality,field_position,position,weight(kg),height(cm),age,id_team,player_image
607,250172227,Julien Duranville,Belgium,Midfielder,UNKNOWN,,,18,52758,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250172227.jpg
608,250122746,Samuel Chukwueze,Nigeria,Forward,WINGER,,,25,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250122746.jpg
609,250006998,Cristian Portu,Spain,Midfielder,WINGER,,,32,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250006998.jpg
610,250185976,Yáser Asprilla,Colombia,Midfielder,,,,20,2602798,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250185976.jpg
611,250161881,Arda Güler,Türkiye,Midfielder,UNKNOWN,,,19,50051,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250161881.jpg
612,250024795,Raheem Sterling,England,Midfielder,WINGER,69.0,170.0,29,52280,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250024795.jpg
613,250177333,Lorenzo Torriani,Italy,Goalkeeper,,,,19,50058,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250177333.jpg
614,107044,Róbert Mak,Slovakia,Midfielder,WINGER,78.0,179.0,33,52797,https://img.uefa.com/imgml/TP/players/1/2025/324x324/107044.jpg
615,250132465,Darian Males,Switzerland,Midfielder,STRIKER,,,23,50031,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250132465.jpg
616,250087967,Jeremiah St. Juste,Netherlands,Defender,UNKNOWN,,,28,50149,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250087967.jpg
617,250056189,Federico Dimarco,Italy,Defender,UNKNOWN,,174.0,26,50138,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250056189.jpg
618,250117471,Ansu Fati,Spain,Forward,UNKNOWN,,,22,50080,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250117471.jpg
619,250067749,Jorginho,Italy,Midfielder,CENTRAL_MIDFIELDER,65.0,180.0,32,52280,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250067749.jpg
620,250196664,Julián Carranza,Argentina,Forward,,,,24,52749,https://img.uefa.com/imgml/TP/players/1/2025/324x324/250196664.jpg
