,id_player,fouls_committed,fouls_suffered,yellow_cards,red_cards
351,250052469,2,4,0,0
352,250200308,2,4,0,0
353,250064232,2,4,0,0
354,250187184,2,4,0,0
355,250129735,2,4,0,0
356,250135607,2,4,0,0
357,250127492,2,3,2,0
358,250105686,2,3,2,0
359,250040471,2,3,1,0
360,250118504,2,3,1,0
361,250174822,2,3,1,0
362,250103758,2,3,0,0
363,250076574,2,3,0,0
364,250107477,2,3,0,0
365,250023009,2,3,0,0
366,250104066,2,3,0,0
367,250024448,2,3,0,0
368,250042632,2,3,0,0
369,250080572,2,3,0,0
370,250122746,2,2,2,0
371,250130406,2,2,1,0
372,250160568,2,2,1,0
373,250088104,2,2,1,0
374,250181712,2,2,1,0
375,250110361,2,2,1,0
376,250101472,2,2,1,0
377,250121294,2,2,0,0
378,250064188,2,2,0,0
379,250163623,2,2,0,0
380,250117410,2,2,0,0
381,250159544,2,2,0,0
382,250099258,2,2,0,0
383,250112842,2,2,0,0
384,250153634,2,2,0,0
385,250026229,2,2,0,0
386,250197801,2,2,0,0
387,1905643,2,2,0,0
388,250102901,2,2,0,0
389,250117511,2,2,0,0
390,250040521,2,1,2,0
391,250115436,2,1,2,0
392,250115134,2,1,2,0
393,250058044,2,1,2,0
394,50327428,2,1,1,0
395,250081921,2,1,1,0
396,250134320,2,1,1,0
397,250155799,2,1,1,0
398,250193541,2,1,1,0
399,250023551,2,1,1,0
400,250193518,2,1,1,0
401,250101238,2,1,0,0
402,250014636,2,1,0,0
403,250063984,2,1,0,0
404,250115948,2,1,0,0
405,250128409,2,1,0,0
406,250115487,2,1,0,0
407,250114167,2,1,0,0
408,1903428,2,1,0,0
409,250172227,2,1,0,0
410,250187671,2,1,0,0
411,250006998,2,1,0,0
412,250142271,2,0,1,0
413,250139036,2,0,1,0
414,250064233,2,0,1,0
415,250112513,2,0,1,0
416,250194557,2,0,1,0
417,250165236,2,0,1,0
418,250196663,2,0,0,1
419,250059115,2,0,0,0
420,250129446,2,0,0,0
421,250096716,2,0,0,0
422,250116904,2,0,0,0
423,250042779,2,0,0,0
424,250019346,2,0,0,0
425,250113142,2,0,0,0
426,250153701,2,0,0,0
427,250199902,2,0,0,0
428,250197958,2,0,0,0
429,250022869,2,0,0,0
430,250197264,2,0,0,0
431,250139255,2,0,0,0
432,250180309,2,0,0,0
433,250171667,2,0,0,0
434,250139101,2,0,0,0
435,250113211,1,14,1,0
436,250128120,1,9,0,0
