id_player,balls_recovered,tackles,tackles_won,tackles_lost,clearance_attempted
250172227,2,4,0,4,0
250194673,2,3,2,1,0
250164785,2,3,1,2,6
250079383,2,3,0,3,2
250163447,2,3,0,3,1
250176491,2,2,2,0,2
250198274,2,2,2,0,0
250187671,2,2,1,1,1
250058270,2,2,1,1,1
250076574,2,2,1,1,0
250175393,2,2,1,1,0
250121536,2,2,1,1,0
250105927,2,2,0,2,5
250102035,2,2,0,2,3
250059115,2,2,0,2,3
250128409,2,2,0,2,1
250141610,2,2,0,2,1
250165236,2,2,0,2,1
250153701,2,2,0,2,0
250185976,2,2,0,2,0
250139255,2,2,0,2,0
250135615,2,2,0,2,0
250134661,2,2,0,2,0
250022869,2,1,1,0,3
250088104,2,1,1,0,2
250168465,2,1,1,0,1
250080570,2,1,1,0,1
250020850,2,1,1,0,1
1903428,2,1,1,0,0
250121972,2,1,0,1,3
250177879,2,1,0,1,2
250097337,2,1,0,1,1
250042521,2,1,0,1,1
250115134,2,1,0,1,1
250197264,2,1,0,1,0
250136445,2,1,0,1,0
250153851,2,0,0,0,8
250105167,2,0,0,0,2
250101313,2,0,0,0,2
250198119,2,0,0,0,1
250193531,2,0,0,0,1
250063803,2,0,0,0,1
250121552,2,0,0,0,0
250110159,2,0,0,0,0
250099459,2,0,0,0,0
250197800,2,0,0,0,0
250133903,2,0,0,0,0
250057117,2,0,0,0,0
250198122,2,0,0,0,0
250132407,1,6,0,6,0
250162865,1,3,1,2,1
250003318,1,3,1,2,1
250169763,1,3,0,3,0
250172594,1,2,2,0,1
250104089,1,2,1,1,0
250089276,1,2,1,1,0
250112186,1,2,0,2,5
250063394,1,2,0,2,3
250134190,1,2,0,2,1
250088320,1,2,0,2,1
250197958,1,2,0,2,0
250168996,1,2,0,2,0
250144297,1,1,1,0,1
250137525,1,1,1,0,1
250118912,1,1,1,0,0
250055216,1,1,1,0,0
250118797,1,1,0,1,2
250181428,1,1,0,1,1
250103758,1,1,0,1,0
250144964,1,1,0,1,0
250144288,1,1,0,1,0
250104128,1,0,0,0,4
250199218,1,0,0,0,3
250181460,1,0,0,0,2
250107324,1,0,0,0,1
250200307,1,0,0,0,1
250103561,1,0,0,0,1
250050416,1,0,0,0,1
250187320,1,0,0,0,1
250112488,1,0,0,0,1
250101696,1,0,0,0,0
250140936,1,0,0,0,0
250097935,1,0,0,0,0
250080471,1,0,0,0,0
250176187,1,0,0,0,0
250136348,1,0,0,0,0
250105284,1,0,0,0,0
250087431,1,0,0,0,0
250022366,1,0,0,0,0
250113373,0,3,1,2,2
250052744,0,2,1,1,3
250041564,0,2,1,1,2
250123910,0,2,0,2,3
250133390,0,2,0,2,1
250181082,0,2,0,2,0
250099399,0,2,0,2,0
250087102,0,1,1,0,4
250138982,0,1,1,0,2
250090955,0,1,1,0,1
250137395,0,1,1,0,0
250154458,0,1,1,0,0
250141861,0,1,0,1,3
250004986,0,1,0,1,2
250183510,0,1,0,1,1
250088122,0,1,0,1,1
250077644,0,1,0,1,1
250188225,0,1,0,1,0
1906553,0,1,0,1,0
250091841,0,1,0,1,0
250193506,0,1,0,1,0
250090719,0,1,0,1,0
250166680,0,1,0,1,0
250138999,0,1,0,1,0
250135068,0,0,0,0,11
250006714,0,0,0,0,8
250105612,0,0,0,0,7
250040573,0,0,0,0,7
102420,0,0,0,0,7
250069832,0,0,0,0,7
98078,0,0,0,0,6
97746,0,0,0,0,6
250081721,0,0,0,0,6
250124006,0,0,0,0,5
250121017,0,0,0,0,5
250157134,0,0,0,0,4
250105818,0,0,0,0,4
250085475,0,0,0,0,4
250063980,0,0,0,0,4
250087877,0,0,0,0,4
250077750,0,0,0,0,4
250138250,0,0,0,0,4
250012069,0,0,0,0,3
250101144,0,0,0,0,3
250073809,0,0,0,0,3
250066131,0,0,0,0,3
1907188,0,0,0,0,3
250165547,0,0,0,0,3
250007631,0,0,0,0,3
74954,0,0,0,0,2
250042780,0,0,0,0,2
250089209,0,0,0,0,2
250123304,0,0,0,0,2
250051291,0,0,0,0,2
250099867,0,0,0,0,2
250029377,0,0,0,0,2
250139028,0,0,0,0,2
250090101,0,0,0,0,2
250196544,0,0,0,0,2
250177333,0,0,0,0,2
250171278,0,0,0,0,1
250113444,0,0,0,0,1
97923,0,0,0,0,1
250101201,0,0,0,0,1
1909868,0,0,0,0,1
250117491,0,0,0,0,1
250055899,0,0,0,0,1
250130771,0,0,0,0,1
250123020,0,0,0,0,1
250079112,0,0,0,0,1
250007075,0,0,0,0,1
250199913,0,0,0,0,1
250192873,0,0,0,0,1
250105664,0,0,0,0,1
250081931,0,0,0,0,1
250063617,0,0,0,0,1
250187899,0,0,0,0,0
250187620,0,0,0,0,0
250078922,0,0,0,0,0
250011668,0,0,0,0,0
250182794,0,0,0,0,0
250180810,0,0,0,0,0
250170117,0,0,0,0,0
250006998,0,0,0,0,0
250170137,0,0,0,0,0
250161761,0,0,0,0,0
250138623,0,0,0,0,0
250116759,0,0,0,0,0
250116654,0,0,0,0,0
250106789,0,0,0,0,0
250104101,0,0,0,0,0
250089824,0,0,0,0,0
250080461,0,0,0,0,0
250056861,0,0,0,0,0
250029862,0,0,0,0,0
250028705,0,0,0,0,0
250201738,0,0,0,0,0
250200233,0,0,0,0,0
250193442,0,0,0,0,0
250190378,0,0,0,0,0
250189610,0,0,0,0,0
250189174,0,0,0,0,0
250189107,0,0,0,0,0
250188129,0,0,0,0,0
250187793,0,0,0,0,0
250186116,0,0,0,0,0
250178067,0,0,0,0,0
250177597,0,0,0,0,0
250176485,0,0,0,0,0
250176477,0,0,0,0,0
250174737,0,0,0,0,0
250174602,0,0,0,0,0
250171659,0,0,0,0,0
250165221,0,0,0,0,0
250159294,0,0,0,0,0
250154309,0,0,0,0,0
250139387,0,0,0,0,0
250134952,0,0,0,0,0
250128391,0,0,0,0,0
250127426,0,0,0,0,0
250118962,0,0,0,0,0
250107089,0,0,0,0,0
250090398,0,0,0,0,0
250087542,0,0,0,0,0
250058260,0,0,0,0,0
1902445,0,0,0,0,0
93443,,,,,
69178,,,,,
250204164,,,,,
250202692,,,,,
250201731,,,,,
250201718,,,,,
250201026,,,,,
250200248,,,,,
250199905,,,,,
250199900,,,,,
250199899,,,,,
250199543,,,,,
250199225,,,,,
250198502,,,,,
250198498,,,,,
250198116,,,,,
250197868,,,,,
250197866,,,,,
250196593,,,,,
250196587,,,,,
250196584,,,,,
250196581,,,,,
250196542,,,,,
250195173,,,,,
250194271,,,,,
250193410,,,,,
250193232,,,,,
250192699,,,,,
250192639,,,,,
250192405,,,,,
250192269,,,,,
250190780,,,,,
250190776,,,,,
250190774,,,,,
250190621,,,,,
250190375,,,,,
250190232,,,,,
250190210,,,,,
250190117,,,,,
250189876,,,,,
250189858,,,,,
250189609,,,,,
250189295,,,,,
250189230,,,,,
250189136,,,,,
250189108,,,,,
250188470,,,,,
250187771,,,,,
250185049,,,,,
250184806,,,,,
250184578,,,,,
250184504,,,,,
250183894,,,,,
250183477,,,,,
250183467,,,,,
250183341,,,,,
250182971,,,,,
250182463,,,,,
250180883,,,,,
250180112,,,,,
250180111,,,,,
250179734,,,,,
250179137,,,,,
250179078,,,,,
250178085,,,,,
250178076,,,,,
250177933,,,,,
250177819,,,,,
250177771,,,,,
250177612,,,,,
250177593,,,,,
250177504,,,,,
250177433,,,,,
250177426,,,,,
250177381,,,,,
250177259,,,,,
250176534,,,,,
250176533,,,,,
250176532,,,,,
250176488,,,,,
250176275,,,,,
250176229,,,,,
250176213,,,,,
250176212,,,,,
250176188,,,,,
250176181,,,,,
250174995,,,,,
250174331,,,,,
250173127,,,,,
250172534,,,,,
250171662,,,,,
250171100,,,,,
250171004,,,,,
250171003,,,,,
250170952,,,,,
250170141,,,,,
250170133,,,,,
250169918,,,,,
250169894,,,,,
250169891,,,,,
250169577,,,,,
250169576,,,,,
250168729,,,,,
250168138,,,,,
250168060,,,,,
250167072,,,,,
250166787,,,,,
250165002,,,,,
250164989,,,,,
250164892,,,,,
250164860,,,,,
250164853,,,,,
250164740,,,,,
250164626,,,,,
250164226,,,,,
250164169,,,,,
250164068,,,,,
250164054,,,,,
250163658,,,,,
250163505,,,,,
250162627,,,,,
250162176,,,,,
250160990,,,,,
250160835,,,,,
250154426,,,,,
250154389,,,,,
250154360,,,,,
250154332,,,,,
250154301,,,,,
250153773,,,,,
250153677,,,,,
250153412,,,,,
250153408,,,,,
250150470,,,,,
250148144,,,,,
250138956,,,,,
250138950,,,,,
250138635,,,,,
250138390,,,,,
250138286,,,,,
250138239,,,,,
250137521,,,,,
250135608,,,,,
250135499,,,,,
250135497,,,,,
250134170,,,,,
250129928,,,,,
250129831,,,,,
250128898,,,,,
250127130,,,,,
250124401,,,,,
250124400,,,,,
250123440,,,,,
250118787,,,,,
250117408,,,,,
250113263,,,,,
250109859,,,,,
250109381,,,,,
250109378,,,,,
250108031,,,,,
250106979,,,,,
250106880,,,,,
250103498,,,,,
250101698,,,,,
250096761,,,,,
