,team_id,country,team,logo
174,2601306,France,Stade Brestois 29,https://img.uefa.com/imgml/TP/teams/logos/70x70/2601306.png
175,52758,Germany,Borussia Dortmund,https://img.uefa.com/imgml/TP/teams/logos/70x70/52758.png
176,50058,Italy,AC Milan,https://img.uefa.com/imgml/TP/teams/logos/70x70/50058.png
177,2602798,Spain,Girona FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/2602798.png
178,50051,Spain,Real Madrid C.F.,https://img.uefa.com/imgml/TP/teams/logos/70x70/50051.png
179,52280,England,Arsenal FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/52280.png
180,52797,Slovakia,ŠK Slovan Bratislava,https://img.uefa.com/imgml/TP/teams/logos/70x70/52797.png
181,50031,Switzerland,BSC Young Boys,https://img.uefa.com/imgml/TP/teams/logos/70x70/50031.png
182,2603790,Germany,RB Leipzig,https://img.uefa.com/imgml/TP/teams/logos/70x70/2603790.png
183,50138,Italy,FC Internazionale Milano,https://img.uefa.com/imgml/TP/teams/logos/70x70/50138.png
184,50080,Spain,FC Barcelona,https://img.uefa.com/imgml/TP/teams/logos/70x70/50080.png
185,52749,Netherlands,Feyenoord,https://img.uefa.com/imgml/TP/teams/logos/70x70/52749.png
186,50023,France,AS Monaco,https://img.uefa.com/imgml/TP/teams/logos/70x70/50023.png
187,50069,Serbia,FK Crvena Zvezda,https://img.uefa.com/imgml/TP/teams/logos/70x70/50069.png
188,52969,Italy,Bologna FC 1909,https://img.uefa.com/imgml/TP/teams/logos/70x70/52969.png
189,50050,Scotland,Celtic FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/50050.png
190,50033,Czechia,AC Sparta Praha,https://img.uefa.com/imgml/TP/teams/logos/70x70/50033.png
191,7889,England,Liverpool FC,https://img.uefa.com/imgml/TP/teams/logos/70x70/7889.png
